index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1127,[264715],"[2726578, 3998011]",0.014716614661448905,0.0032352417237000134,0.000103435792231972,0.007028504490433424,2.172482024741945,5.5823986447637154e-05,1.0038201124442014
1122,"[2726578, 3998011]",[264715],0.0032352417237000134,0.014716614661448905,0.000103435792231972,0.03197158081705151,2.172482024741945,5.5823986447637154e-05,1.017824854946063
1446,[9402188],"[3978011, 3898011]",0.016440544531981773,0.006280851161641411,0.00022411088316927268,0.013631597343586158,2.1703423616909485,0.00012085026994755762,1.0074523333899872
1443,"[3978011, 3898011]",[9402188],0.006280851161641411,0.016440544531981773,0.00022411088316927268,0.035681610247026534,2.1703423616909485,0.00012085026994755762,1.0199530216570627
588,[2938210],[3898011],0.006476229880301803,0.018187460134121744,0.00024709661477637757,0.038154392191659274,2.097840595129459,0.00012931044200898052,1.0207589782553919
589,[3898011],[2938210],0.018187460134121744,0.006476229880301803,0.00024709661477637757,0.01358609794628752,2.097840595129459,0.00012931044200898052,1.0072077938593353
750,[3968011],[3611367],0.015814183345688165,0.0053671683302589914,0.00017239298705328668,0.010901162790697675,2.0310827087794436,8.751560303139998e-05,1.005594986317093
751,[3611367],[3968011],0.0053671683302589914,0.015814183345688165,0.00017239298705328668,0.032119914346895075,2.031082708779443,8.751560303139998e-05,1.0168468503928398
895,[3908011],[3898011],0.005482096988294516,0.018187460134121744,0.0002011251515621678,0.03668763102725367,2.017193756396117,0.0001014197311361724,1.019204747586559
894,[3898011],[3908011],0.018187460134121744,0.005482096988294516,0.0002011251515621678,0.011058451816745656,2.017193756396117,0.0001014197311361724,1.005638710233881
1409,[3582465],"[3978011, 3898011]",0.008711592279092753,0.006280851161641411,0.00010918222513374823,0.01253298153034301,1.995427245097732,5.4466010647862166e-05,1.0063314827247505
1408,"[3978011, 3898011]",[3582465],0.006280851161641411,0.008711592279092753,0.00010918222513374823,0.017383348581884724,1.995427245097732,5.4466010647862166e-05,1.0088251672615935
45,[264715],[3978011],0.014716614661448905,0.045310623430505514,0.0012872009699978738,0.08746583365872705,1.930360410795858,0.000620381984901106,1.0461957609732457
44,[3978011],[264715],0.045310623430505514,0.014716614661448905,0.0012872009699978738,0.028408370323398855,1.9303604107958579,0.000620381984901106,1.014092088943281
203,[3998011],[803921],0.018170220835416414,0.024192482516477896,0.0008447256365611047,0.04648956356736243,1.9216532877805172,0.00040514288667975066,1.0233842024155546
202,[803921],[3998011],0.024192482516477896,0.018170220835416414,0.0008447256365611047,0.034916864608076005,1.921653287780517,0.00040514288667975066,1.017352540064705
1545,"[3524026, 3978011, 3898011]",[9402188],0.004194896018296642,0.016440544531981773,0.0001321679567408531,0.031506849315068496,1.9164115430470237,6.320158194501414e-05,1.0155564391678265
1556,[9402188],"[3524026, 3978011, 3898011]",0.016440544531981773,0.004194896018296642,0.0001321679567408531,0.008039147151345682,1.9164115430470234,6.320158194501414e-05,1.0038754060929012
201,[3988011],[803921],0.006976169542756334,0.024192482516477896,0.00032180024249946844,0.04612850082372323,1.9067287035261615,0.00015302938280435023,1.0229968274827252
200,[803921],[3988011],0.024192482516477896,0.006976169542756334,0.00032180024249946844,0.01330166270783848,1.9067287035261615,0.00015302938280435023,1.0064107670257574
542,[2726578],[3978011],0.018262163761844835,0.045310623430505514,0.0015687761821849087,0.08590308370044053,1.895870707499602,0.0007413061569457334,1.0444071734037361
543,[3978011],[2726578],0.045310623430505514,0.018262163761844835,0.0015687761821849087,0.03462270133164236,1.895870707499602,0.0007413061569457334,1.0169472988357664
1366,"[3524026, 3898011]",[9402188],0.005533814884410502,0.016440544531981773,0.00017239298705328668,0.031152647975077885,1.894867162974844,8.141405701439226e-05,1.01518516143162
1371,[9402188],"[3524026, 3898011]",0.016440544531981773,0.005533814884410502,0.00017239298705328668,0.01048584411045089,1.8948671629748437,8.141405701439226e-05,1.0050045056925827
194,[803921],[3968011],0.024192482516477896,0.015814183345688165,0.000724050545623804,0.02992874109263658,1.8925252375296913,0.00034146619152086716,1.014550021575576
195,[3968011],[803921],0.015814183345688165,0.024192482516477896,0.000724050545623804,0.04578488372093023,1.892525237529691,0.00034146619152086716,1.0226284417801421
1155,[3524026],"[3582465, 348498]",0.05325219370076025,0.001654972675711552,0.00016664655415151046,0.003129383835113845,1.8908975846192586,7.851562865505342e-05,1.00147903964215
1154,"[3582465, 348498]",[3524026],0.001654972675711552,0.05325219370076025,0.00016664655415151046,0.10069444444444445,1.8908975846192584,7.851562865505342e-05,1.0527543174292704
604,[2938210],[9402188],0.006476229880301803,0.016440544531981773,0.0002011251515621678,0.031055900621118012,1.8889824823444872,9.465240581571502e-05,1.015083796989429
605,[9402188],[2938210],0.016440544531981773,0.006476229880301803,0.0002011251515621678,0.01223348479552604,1.8889824823444872,9.465240581571502e-05,1.0058285584969768
590,[2938210],[3968011],0.006476229880301803,0.015814183345688165,0.00018963228575861533,0.029281277728482696,1.851583296362023,8.72159990426985e-05,1.0138733230067727
591,[3968011],[2938210],0.015814183345688165,0.006476229880301803,0.00018963228575861533,0.01199127906976744,1.851583296362023,8.72159990426985e-05,1.0055819843212246
710,[3898011],[3581365],0.018187460134121744,0.0036030134294136916,0.00012067509093730066,0.006635071090047393,1.8415338216286083,5.514542782713388e-05,1.0030523099541684
711,[3581365],[3898011],0.0036030134294136916,0.018187460134121744,0.00012067509093730066,0.03349282296650717,1.8415338216286081,5.514542782713388e-05,1.0158357466929135
193,[3908011],[803921],0.005482096988294516,0.024192482516477896,0.00024135018187460133,0.0440251572327044,1.8197866714471382,0.0001087246463316501,1.020746021578158
192,[803921],[3908011],0.024192482516477896,0.005482096988294516,0.00024135018187460133,0.009976247030878859,1.8197866714471382,0.0001087246463316501,1.0045394365833207
1178,"[3978011, 3898011]",[348498],0.006280851161641411,0.009073617551904655,0.000103435792231972,0.016468435498627632,1.81498012280347,4.6445750890801754e-05,1.007518638154203
1179,[348498],"[3978011, 3898011]",0.009073617551904655,0.006280851161641411,0.000103435792231972,0.011399620012666244,1.8149801228034699,4.6445750890801754e-05,1.0051777937320745
563,[2784759],[3898011],0.007372673412978893,0.018187460134121744,0.00024135018187460133,0.03273577552611068,1.799909128856021,0.00010725997809414841,1.0150406838419999
562,[3898011],[2784759],0.018187460134121744,0.007372673412978893,0.00024135018187460133,0.013270142180094787,1.799909128856021,0.00010725997809414841,1.0059767815074998
20,[803921],[264715],0.024192482516477896,0.014716614661448905,0.0006321076191953844,0.026128266033254157,1.77542638944667,0.00027607617629653953,1.0117178176281219
21,[264715],[803921],0.014716614661448905,0.024192482516477896,0.0006321076191953844,0.042951971885982036,1.7754263894466698,0.00027607617629653953,1.0196014085170544
945,[3968011],[3988011],0.015814183345688165,0.006976169542756334,0.00019537871866039157,0.012354651162790697,1.770979200988468,8.505629446063734e-05,1.005445762111234
944,[3988011],[3968011],0.006976169542756334,0.015814183345688165,0.00019537871866039157,0.028006589785831964,1.770979200988468,8.505629446063734e-05,1.0125437130663852
46,[3998011],[264715],0.018170220835416414,0.014716614661448905,0.0004712074979456502,0.02593295382669197,1.7621548449335274,0.00020380335959739663,1.0115149559871748
47,[264715],[3998011],0.014716614661448905,0.018170220835416414,0.0004712074979456502,0.03201874267864115,1.7621548449335271,0.00020380335959739663,1.014306601226502
171,[2726578],[803921],0.018262163761844835,0.024192482516477896,0.0007642755759362375,0.04185022026431718,1.7298853160609833,0.00032246849841475014,1.0184289952586645
